clusters,labels
0,3
0,3
1,3
1,3
-1,3
-1,3
-1,3
-1,3
7,3
7,3
-1,3
-1,3
7,3
7,3
8,3
8,3
11,3
11,3
9,3
9,3
-1,3
-1,3
7,3
7,3
8,3
8,3
7,3
7,3
8,3
8,3
9,3
9,3
9,3
9,3
7,3
7,3
8,3
8,3
7,3
7,3
8,3
8,3
9,3
9,3
9,3
9,3
-1,2
-1,2
7,3
7,3
8,3
-1,3
7,3
7,3
8,3
8,3
9,3
11,3
9,3
9,3
7,3
7,3
8,3
8,3
7,3
7,3
8,3
8,3
9,3
9,3
9,3
9,3
7,3
7,3
8,3
8,3
7,3
7,3
8,3
8,3
9,3
9,3
9,3
9,3
7,3
-1,3
8,3
8,3
7,3
7,3
8,3
8,3
9,3
11,3
9,3
9,3
-1,3
-1,3
7,3
7,3
8,3
8,3
7,3
7,3
8,3
8,3
9,3
9,3
9,3
9,3
-1,3
-1,3
12,3
12,3
-1,2
-1,2
-1,3
7,3
8,3
8,3
7,3
7,3
8,3
8,3
9,3
9,3
9,3
9,3
7,3
7,3
8,3
8,3
7,3
7,3
8,3
8,3
9,3
9,3
9,3
9,3
9,3
-1,3
9,3
10,3
9,3
10,3
9,3
10,3
9,3
10,3
9,3
10,3
9,3
9,3
10,3
9,3
-1,3
-1,3
14,3
-1,3
14,3
14,3
14,3
-1,3
14,3
14,3
14,3
14,3
14,3
14,3
10,3
9,3
10,3
9,3
-1,3
14,3
14,3
-1,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
-1,3
-1,3
10,3
-1,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
10,3
-1,3
-1,3
15,3
15,3
-1,2
-1,2
-1,3
-1,3
16,3
16,3
17,2
17,2
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
-1,3
-1,3
8,3
8,3
7,3
7,3
8,3
8,3
9,3
11,3
9,3
9,3
7,3
7,3
8,3
8,3
7,3
7,3
8,3
8,3
9,3
9,3
9,3
9,3
7,3
7,3
8,3
8,3
7,3
7,3
8,3
8,3
9,3
9,3
9,3
9,3
-1,3
-1,3
-1,3
6,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
-1,3
19,3
-1,3
18,3
19,3
18,3
18,3
18,3
19,3
18,3
18,3
18,3
19,3
18,3
18,3
12,3
12,3
-1,3
1,3
-1,3
21,3
-1,3
-1,3
16,3
16,3
7,3
7,3
8,3
-1,3
7,3
7,3
8,3
8,3
16,3
16,3
16,3
16,3
16,3
16,3
11,3
11,3
9,3
9,3
-1,3
-1,3
16,3
16,3
16,3
16,3
7,3
7,3
8,3
8,3
7,3
7,3
8,3
8,3
9,3
9,3
9,3
9,3
16,3
16,3
9,3
9,3
9,3
9,3
0,3
-1,3
9,3
9,3
9,3
9,3
-1,3
12,3
9,3
9,3
9,3
9,3
-1,3
14,3
14,3
-1,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
-1,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
14,3
9,3
-1,3
10,3
10,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
16,3
