0: [89, 89, 89, 89, 89, 89, 89, 64, 72, 72] == [72] Changed {56}, Perturbations {2}
   [89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.576, [64] 0.280, [57] 0.015
1< [89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.590, [64] 0.268, [57] 0.015
2< [89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.591, [64] 0.267, [57] 0.015
3< [89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.585, [64] 0.272, [57] 0.015
4< [89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.586, [64] 0.271, [57] 0.015
5< [89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.580, [64] 0.277, [57] 0.015
6< [89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.586, [64] 0.272, [57] 0.015
7< [89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.584, [64] 0.273, [57] 0.015
8< [89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.585, [64] 0.272, [57] 0.015
9< [89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.584, [64] 0.274, [57] 0.015
10<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.577, [64] 0.280, [57] 0.015
11<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.585, [64] 0.272, [57] 0.015
12<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.586, [64] 0.271, [57] 0.015
13<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.585, [64] 0.272, [57] 0.015
14<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.576, [64] 0.281, [57] 0.015
15<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.586, [64] 0.272, [57] 0.015
16<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.583, [64] 0.274, [57] 0.015
17<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.587, [64] 0.271, [57] 0.015
18<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.579, [64] 0.278, [57] 0.015
19<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.588, [64] 0.270, [57] 0.015
20<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.583, [64] 0.275, [57] 0.015
21<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.588, [64] 0.270, [57] 0.015
22<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.574, [64] 0.282, [57] 0.015
23<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.582, [64] 0.275, [57] 0.015
24<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.581, [64] 0.276, [57] 0.015
25<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.590, [64] 0.268, [57] 0.015
26<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.585, [64] 0.272, [57] 0.015
27<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.588, [64] 0.270, [57] 0.015
28<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.577, [64] 0.280, [57] 0.015
29<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.583, [64] 0.274, [57] 0.015
30<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.590, [64] 0.268, [57] 0.015
31<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.579, [64] 0.278, [57] 0.015
32<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.582, [64] 0.276, [57] 0.015
33<[89, 89, 89, 89, 89, 89, 89, 64, 72, 72] -> [72] 0.587, [64] 0.270, [57] 0.015
